delta_e_deg,fit_slope_dgrad_dJ,fit_intercept,sigma_gradient
-10,0.0018755981426643537,-0.05277396676555205,0.00017253405460951758
10,0.0014437087249303843,-0.04838449599372866,0.00017253405460951758
