delta_e_deg,J_level,slope_dCm_dalpha,intercept,sigma_Cm,sigma_gradient
-10,1.9,-0.04926377190894312,0.2661700437665191,0.002011,0.0002843983473932294
-10,2.5,-0.04592877790440761,0.2443911359906686,0.002011,0.0002843983473932294
-10,3.6,-0.043752793734200886,0.23635559734902564,0.002011,0.0002843983473932294
-10,5.0,-0.04294759543957686,0.23433858250219342,0.002011,0.0002843983473932294
10,1.9,-0.050182768579718935,-0.37211476870836874,0.002011,0.0002843983473932294
10,2.5,-0.047794273626788064,-0.3365171697774677,0.002011,0.0002843983473932294
10,3.6,-0.04579718144110553,-0.33394101141782156,0.002011,0.0002843983473932294
10,5.0,-0.04492093876374719,-0.33909633589204546,0.002011,0.0002843983473932294
