J,delta_e_deg,run_count
1.6004097048844503,-10,1
1.6004097048844503,0,1
2.5012756505817966,-10,6
2.5012756505817966,0,5
2.5012756505817966,10,6
3.5661303206664385,-10,5
3.5661303206664385,0,10
3.5661303206664385,10,5
3.572602426511568,-10,5
3.572602426511568,10,5
4.473872584108805,0,5
4.996202885806787,-10,5
4.996202885806787,0,5
4.996202885806787,10,5
