  Run_nr	   Alpha	    Beta	      CL	      CD	    Cyaw	 Cm_p_qc	      Ct	      Cn	   Cside	 Cm_roll	Cm_pitch	  Cm_yaw	      Cx	      Cy	      Cz	    Cm_x	    Cm_y	    Cm_z	      Fx	      Fy	      Fz	      Mx	      My	      Mz	     DPb	    Pbar	       T	     Rho	       Q	       V	      Re	       M
       /	 degrees	 degrees	       /	       /	       /	       /	       /	       /	       /	       /	       /	       /	       /	       /	       /	       /	       /	       /	       N	       N	       N	      Nm	      Nm	      Nm	      Pa	      Pa	 degr. C	  kg/m^3	      Pa	     m/s	       /	       /
      51	   8.000	   0.000	  1.0617	0.051977	-0.00045	-0.29910	-0.096290	  1.0586	-0.000451	-0.00547	-0.56376	-0.00141	0.051977	0.000451	1.061703	-0.00554	-0.57221	-0.00066	   13.22	    0.10	  240.90	   -1.74	  -20.86	   -0.21	  414.10	 1011.69	   17.19	   1.214	   970.5	   39.99	3.457E+5	   0.117
      52	  12.000	   0.000	  1.2778	0.113254	-0.00524	-0.48909	-0.154883	  1.2734	-0.005239	-0.00683	-0.80744	-0.00078	0.113254	0.005239	1.277770	-0.00599	-0.82587	 0.00066	   26.75	    1.18	  288.60	   -1.88	  -30.20	    0.21	  414.59	 1011.67	   17.16	   1.214	   971.6	   40.01	3.460E+5	   0.117
      53	  -1.996	   0.000	  0.0913	0.016727	 0.01108	-0.22859	0.019895	  0.0906	0.011076	-0.00321	-0.25125	-0.00042	0.016727	-0.011076	0.091266	-0.00500	-0.25397	-0.00053	    1.47	   -0.62	    5.44	   -0.39	   -2.19	   -0.04	  104.33	 1011.71	   16.83	   1.215	   243.4	   20.01	1.734E+5	   0.059
      54	  -0.004	   0.000	  0.2978	0.019707	 0.00871	-0.23443	0.019727	  0.2978	0.008705	-0.00387	-0.30888	-0.00041	0.019707	-0.008705	0.297819	-0.00529	-0.31209	-0.00041	    1.60	   -0.49	   17.21	   -0.42	   -2.74	   -0.03	  104.16	 1011.68	   16.80	   1.216	   243.0	   20.00	1.733E+5	   0.059
      55	   4.000	   0.000	  0.7094	0.038378	 0.00268	-0.23628	-0.011201	  0.7104	0.002680	-0.00528	-0.41387	-0.00040	0.038378	-0.002680	0.709404	-0.00573	-0.42011	-0.00003	    2.59	   -0.15	   40.74	   -0.45	   -3.80	   -0.00	  104.72	 1011.70	   16.76	   1.216	   244.3	   20.05	1.738E+5	   0.059
      56	   8.000	   0.000	  1.0562	0.068876	 0.00064	-0.31143	-0.078794	  1.0555	0.000635	-0.00629	-0.57532	-0.00036	0.068876	-0.000635	1.056231	-0.00638	-0.58652	 0.00052	    4.25	   -0.04	   59.95	   -0.50	   -5.35	    0.04	  104.06	 1011.69	   16.68	   1.216	   242.8	   19.98	1.733E+5	   0.059
      57	  12.000	   0.000	  1.2986	0.131546	 0.00259	-0.46010	-0.141333	  1.2976	0.002586	-0.00505	-0.78451	-0.00096	0.131546	-0.002586	1.298646	-0.00556	-0.80591	 0.00009	    7.72	   -0.15	   73.33	   -0.44	   -7.37	    0.01	  104.14	 1011.68	   16.63	   1.216	   242.9	   19.99	1.734E+5	   0.059
      58	  -1.979	   0.000	  0.0914	0.071141	 0.00736	-0.19000	0.074255	  0.0889	0.007357	-0.00134	-0.21221	 0.00100	0.071141	-0.007357	0.091386	-0.00257	-0.22379	 0.00096	    4.53	   -0.41	    5.45	   -0.20	   -1.91	    0.08	  104.40	 1011.66	   16.58	   1.216	   243.5	   20.01	1.737E+5	   0.059
      59	  -0.004	   0.000	  0.2925	0.073909	 0.00714	-0.18695	0.073929	  0.2925	0.007143	-0.00163	-0.26008	 0.00030	0.073909	-0.007143	0.292522	-0.00279	-0.27210	 0.00030	    4.65	   -0.40	   16.93	   -0.22	   -2.38	    0.02	  104.23	 1011.66	   16.58	   1.216	   243.2	   20.00	1.735E+5	   0.059
      60	   4.000	   0.000	  0.6947	0.091577	 0.00426	-0.18302	0.042896	  0.6994	0.004259	-0.00299	-0.35787	-0.00072	0.091577	-0.004259	0.694675	-0.00372	-0.37277	-0.00052	    5.59	   -0.24	   39.90	   -0.29	   -3.36	   -0.04	  104.67	 1011.67	   16.58	   1.216	   244.2	   20.04	1.739E+5	   0.059
      61	   8.000	   0.000	  1.0256	0.122514	 0.00168	-0.24278	-0.021416	  1.0327	0.001682	-0.00448	-0.50095	-0.00044	0.122514	-0.001682	1.025601	-0.00477	-0.52088	 0.00019	    7.32	   -0.10	   58.73	   -0.38	   -4.78	    0.01	  104.95	 1011.66	   16.55	   1.217	   244.8	   20.06	1.741E+5	   0.059
      62	  12.000	   0.000	  1.2500	0.185160	 0.00728	-0.35751	-0.078769	  1.2611	0.007283	-0.00178	-0.67280	-0.00202	0.185160	-0.007283	1.249962	-0.00336	-0.70292	-0.00169	   10.76	   -0.41	   70.86	   -0.27	   -6.44	   -0.13	  104.52	 1011.66	   16.49	   1.217	   243.8	   20.02	1.738E+5	   0.059
      63	   8.004	   0.000	  1.0431	0.097804	 0.00245	-0.24540	-0.048385	  1.0465	0.002453	-0.00369	-0.50703	-0.00193	0.097804	-0.002453	1.043057	-0.00433	-0.52294	-0.00143	   23.57	   -0.55	  237.44	   -1.36	  -19.10	   -0.45	  415.35	 1011.63	   16.71	   1.216	   973.4	   40.02	3.470E+5	   0.117
