source_file,Run_nr,Alpha,Beta,CL,CD,Cyaw,Cm_p_qc,Ct,Cn,Cside,Cm_roll,Cm_pitch,Cm_yaw,V,Re,M,V_nominal,prop_speed_hz,test_block,advance_ratio_J,advance_ratio_nominal_J,Ct_zero_thrust_ref,Ct_minus_Ct0
corr_elevator-10rudder0.txt,11,-1.996,0.0,-0.0774,0.068656,0.00114,0.2989,0.06592,-0.0797,0.001142,-0.00099,0.31572,0.00206,40.19,348300.0,0.118,40.0,55.1,BRK,3.589572288037498,3.572602426511568,0.050311772,0.015608228000000009
corr_elevator-10rudder0.txt,12,-0.004,0.0,0.1312,0.066991,0.00132,0.28415,0.067001,0.1312,0.001324,-0.00134,0.24838,0.00165,40.2,348300.0,0.118,40.0,55.1,BRK,3.5904654386441264,3.572602426511568,0.052688228,0.014312772000000008
corr_elevator-10rudder0.txt,13,4.0,0.0,0.5359,0.074201,0.00406,0.26501,0.036637,0.5398,0.004061,-0.00187,0.1273,0.00048,40.2,348100.0,0.118,40.0,55.1,BRK,3.5904654386441264,3.572602426511568,0.023485,0.013152000000000004
corr_elevator-10rudder0.txt,14,8.0,0.0,0.8791,0.098389,-0.00382,0.20356,-0.024917,0.8842,-0.00382,-0.00324,-0.01962,-0.00023,40.16,347800.0,0.118,40.0,55.1,BRK,3.586892836217614,3.572602426511568,-0.04254197302697304,0.017624973026973037
corr_elevator-10rudder0.txt,15,12.0,0.0,1.059,0.147999,-0.00155,0.08311,-0.075408,1.0666,-0.001552,-0.00313,-0.18441,-0.00114,40.23,348400.0,0.118,40.0,55.1,BRK,3.5931448904640093,3.572602426511568,-0.099118,0.023709999999999995
corr_elevator-10rudder0.txt,16,12.0,0.0,1.0738,0.126917,0.00099,0.06549,-0.099118,1.0767,0.000994,-0.00372,-0.20437,-0.00194,40.22,348400.0,0.118,40.0,78.7,ZERO,2.5150326666599967,2.5012756505817966,-0.099118,0.0
corr_elevator-10rudder0.txt,17,8.004,0.0,0.8893,0.08202,0.00092,0.18922,-0.042608,0.8921,0.000919,-0.0034,-0.03577,-0.00145,40.23,348400.0,0.118,40.0,78.7,ZERO,2.5156579855726418,2.5012756505817966,-0.042608,0.0
corr_elevator-10rudder0.txt,18,8.004,0.0,0.9089,-0.011422,-0.00276,0.14041,-0.137869,0.8985,-0.002762,-0.00721,-0.08567,-0.00132,40.18,347900.0,0.118,40.0,123.0,MANDATORY,1.6076115485564304,1.6004097048844503,-0.042608,-0.09526099999999998
corr_elevator-10rudder0.txt,19,4.0,0.0,0.5373,0.061115,-0.00073,0.25826,0.023485,0.5403,-0.000729,-0.00282,0.1205,0.0,40.22,348200.0,0.118,40.0,78.7,ZERO,2.5150326666599967,2.5012756505817966,0.023485,0.0
corr_elevator-10rudder0.txt,20,0.0,0.0,0.1295,0.052693,0.00242,0.28293,0.052693,0.1295,0.002415,-0.00166,0.24761,0.00127,40.34,349100.0,0.118,40.0,78.7,ZERO,2.5225364936117423,2.5012756505817966,0.052693,0.0
corr_elevator-10rudder0.txt,21,-2.0,0.0,-0.0846,0.05329,0.00158,0.30058,0.050307,-0.0864,0.001578,-0.0014,0.31904,0.00189,40.21,347900.0,0.118,40.0,78.7,ZERO,2.514407347747351,2.5012756505817966,0.050307,0.0
corr_elevator-10rudder0.txt,32,8.001,0.0,0.8889,0.081973,0.00117,0.18854,-0.042555,0.8916,0.001167,-0.00336,-0.03634,-0.0015,40.18,348500.0,0.118,40.0,78.7,REPLICATE,2.5125313910094147,2.5012756505817966,-0.04255847977022977,3.47977022976953e-06
