V_nominal,prop_speed_hz,test_block,alpha_nominal_deg,delta_e_trim_deg,delta_e_data_min_deg,delta_e_data_max_deg,trim_within_data_range,cl_trim,cd_trim,ld_trim,beta_mean_deg,j_nominal,j_measured_mean,n_elevator_levels,sample_count,r_squared_cm_fit
20.0,27.6,BRK/BRK/CAL,-2,2.014431105649557,-10.0,10.0,True,0.02174796010965119,0.06268021224753442,0.34696691874247226,0.0,3.5661303206664385,3.587824280117159,3,4,0.9999424567853465
20.0,27.6,BRK/BRK/CAL,0,-0.16220853154488132,-10.0,10.0,True,0.20544024669214173,0.0639456769216772,3.2127308143718896,0.0,3.5661303206664385,3.586338392483549,3,4,0.9995302270825626
20.0,27.6,BRK/BRK/CAL,4,-4.370701814770572,-10.0,10.0,True,0.5756803793538633,0.07550379384570736,7.624522557505799,0.0,3.5661303206664385,3.5854468599033815,3,4,0.9999764674451268
20.0,27.6,BRK/BRK/CAL,8,-10.206486076086664,-10.0,10.0,True,0.867578345399821,0.09634004396133299,9.005376266467472,0.0,3.5661303206664385,3.586635570010271,3,4,0.9999516868415533
20.0,27.6,BRK/BRK/CAL,12,-17.53523957460434,-10.0,10.0,False,1.035129950742944,0.14291272847984413,7.243091372990858,0.0,3.5661303206664385,3.5851496823766595,3,4,0.997030294393162
20.0,,FREE,-2,1.3454912469982248,-10.0,10.0,True,0.01024579403473358,0.019184239759161944,0.5340734980045497,0.0,,,2,2,1.0
20.0,,FREE,0,-0.9379416447521416,-10.0,10.0,True,0.1971241811123634,0.020667703196837157,9.537788463235234,0.0,,,2,2,1.0
20.0,,FREE,4,-5.417301793409739,-10.0,10.0,True,0.5718237998456879,0.03299496113965262,17.330640197617406,0.0,,,2,2,1.0
20.0,,FREE,8,-11.340978937111165,-10.0,10.0,False,0.871257611873173,0.052102376958249014,16.722031944364733,0.0,,,2,2,1.0
20.0,,FREE,12,-18.012338329996222,-10.0,10.0,False,1.0509767898695819,0.09419834401212185,11.15706226995177,0.0,,,2,2,1.0
