source_file,Run_nr,Alpha,Beta,CL,CD,Cyaw,Cm_p_qc,Ct,Cn,Cside,Cm_roll,Cm_pitch,Cm_yaw,V,Re,M,V_nominal,prop_speed_hz,test_block,advance_ratio_J,advance_ratio_nominal_J
corr_elevator-10rudder0.txt,25,0.0,0.0,0.1162,0.021631,0.00964,0.28527,0.021631,0.1162,0.009638,-0.00246,0.25328,-0.00095,20.11,174600.0,0.059,20.0,,FREE,,
corr_elevator-10rudder0.txt,26,-2.0,0.0,-0.0947,0.022631,0.00981,0.30528,0.019315,-0.0954,0.009813,-0.00205,0.32599,-0.00053,20.13,174700.0,0.059,20.0,,FREE,,
corr_elevator-10rudder0.txt,27,-2.0,0.0,-0.0777,0.076031,-0.00152,0.30191,0.073271,-0.0804,-0.001521,-0.00185,0.31891,0.00167,20.1,174500.0,0.059,20.0,27.6,BRK,3.5839609722697707,3.5661303206664385
corr_elevator-10rudder0.txt,28,-0.004,0.0,0.1239,0.074077,0.00448,0.28945,0.074086,0.1239,0.004481,-0.00197,0.25551,0.001,20.1,174500.0,0.059,20.0,27.6,BRK,3.5839609722697707,3.5661303206664385
corr_elevator-10rudder0.txt,29,4.0,0.0,0.5317,0.083115,-0.00013,0.27659,0.045825,0.5362,-0.000134,-0.00282,0.13971,0.00041,20.09,174500.0,0.059,20.0,27.6,BRK,3.5821779071094375,3.5661303206664385
corr_elevator-10rudder0.txt,30,8.0,0.0,0.8661,0.106459,0.00219,0.21625,-0.015115,0.8725,0.002191,-0.00339,-0.00409,-0.00089,20.07,174400.0,0.059,20.0,27.6,BRK,3.578611776788771,3.5661303206664385
corr_elevator-10rudder0.txt,31,12.0,0.0,1.0862,0.161423,0.00429,0.09839,-0.067943,1.096,0.004291,-0.00153,-0.17663,-0.00131,20.12,174800.0,0.059,20.0,27.6,BRK,3.587527102590437,3.5661303206664385
corr_elevator-10rudder0.txt,32,8.001,0.0,0.8889,0.081973,0.00117,0.18854,-0.042555,0.8916,0.001167,-0.00336,-0.03634,-0.0015,40.18,348500.0,0.118,40.0,78.7,REPLICATE,2.5125313910094147,2.5012756505817966
corr_elevatorp10rudder0.txt,33,-2.0,0.0,0.0862,0.066609,0.00336,-0.16816,0.069578,0.0838,0.00336,-0.00051,-0.18737,0.00146,40.17,348700.0,0.118,40.0,39.4,BRK,5.017436748071466,4.996202885806787
corr_elevatorp10rudder0.txt,34,-0.004,0.0,0.2915,0.069279,0.00425,-0.17533,0.069299,0.2915,0.004248,-0.00098,-0.24638,0.00087,40.18,348500.0,0.118,40.0,39.4,BRK,5.018685798792918,4.996202885806787
corr_elevatorp10rudder0.txt,35,4.0,0.0,0.6879,0.084606,0.00654,-0.18255,0.036416,0.6921,0.006545,-0.0019,-0.35367,-0.0001,40.19,348400.0,0.118,40.0,39.4,BRK,5.019934849514369,4.996202885806787
corr_elevatorp10rudder0.txt,36,8.0,0.0,1.0171,0.115714,-0.00088,-0.22443,-0.026972,1.0233,-0.000876,-0.00344,-0.47793,-0.00105,40.2,348400.0,0.118,40.0,39.4,BRK,5.021183900235822,4.996202885806787
corr_elevatorp10rudder0.txt,37,12.0,0.0,1.2012,0.175365,0.00084,-0.36738,-0.078202,1.2114,0.000838,-0.00315,-0.66639,-0.00196,40.21,348500.0,0.118,40.0,39.4,BRK,5.022432950957273,4.996202885806787
corr_elevatorp10rudder0.txt,38,-1.996,0.0,0.0835,0.063954,0.00333,-0.16441,0.066825,0.0813,0.003329,-0.0006,-0.18302,0.00143,40.21,348300.0,0.118,40.0,55.1,BRK,3.591358589250754,3.572602426511568
corr_elevatorp10rudder0.txt,39,-0.004,0.0,0.2889,0.066402,0.00391,-0.17185,0.066422,0.2889,0.003908,-0.00119,-0.24229,0.00093,40.19,347900.0,0.118,40.0,55.1,BRK,3.589572288037498,3.572602426511568
corr_elevatorp10rudder0.txt,40,4.0,0.0,0.6881,0.081882,0.00593,-0.18203,0.033686,0.6921,0.005934,-0.00205,-0.35316,5e-05,40.26,348500.0,0.118,40.0,55.1,BRK,3.595824342283893,3.572602426511568
corr_elevatorp10rudder0.txt,41,8.0,0.0,1.0205,0.113053,-0.00189,-0.22633,-0.03007,1.0263,-0.00189,-0.00361,-0.48054,-0.00078,40.23,348200.0,0.118,40.0,55.1,BRK,3.5931448904640093,3.572602426511568
corr_elevatorp10rudder0.txt,42,12.0,0.0,1.2101,0.17064,0.00055,-0.38095,-0.084686,1.2192,0.000554,-0.00316,-0.68177,-0.00171,40.17,347800.0,0.118,40.0,55.1,BRK,3.5877859868242425,3.572602426511568
corr_elevatorp10rudder0.txt,43,-1.996,0.0,0.0796,0.048929,0.00306,-0.17028,0.051672,0.0778,0.003061,-0.0014,-0.18796,0.00145,40.24,348300.0,0.118,40.0,78.7,ZERO,2.5162833044852877,2.5012756505817966
corr_elevatorp10rudder0.txt,44,-0.004,0.0,0.288,0.051717,0.00368,-0.18049,0.051737,0.288,0.003676,-0.0018,-0.2506,0.00094,40.23,348000.0,0.118,40.0,78.7,ZERO,2.5156579855726418,2.5012756505817966
corr_elevatorp10rudder0.txt,45,4.0,0.0,0.692,0.067328,0.00661,-0.19363,0.018894,0.695,0.006608,-0.00254,-0.36536,-0.00017,40.21,347800.0,0.118,40.0,78.7,ZERO,2.514407347747351,2.5012756505817966
