delta_e_deg,V_nominal,prop_speed_hz,alpha_nominal_deg,cm_mean,cm_std,sample_count,beta_mean,j_mean,j_nominal,test_block
10,20.0,27.6,4,-0.3542,0.0,1,0.0,3.5910932329111036,3.5661303206664385,BRK
10,20.0,27.6,8,-0.49581,0.0,1,0.0,3.5964424283921033,3.5661303206664385,BRK
10,20.0,27.6,12,-0.6659,0.0,1,0.0,3.587527102590437,3.5661303206664385,BRK
10,20.0,,-2,-0.24867,0.0,1,0.0,,,FREE
10,20.0,,0,-0.30571,0.0,1,0.0,,,FREE
10,20.0,,4,-0.40963,0.0,1,0.0,,,FREE
10,20.0,,8,-0.56942,0.0,1,0.0,,,FREE
10,20.0,,12,-0.77646,0.0,1,0.0,,,FREE
10,40.0,39.4,-2,-0.18737,0.0,1,0.0,5.017436748071466,4.996202885806787,BRK
10,40.0,39.4,0,-0.24638,0.0,1,0.0,5.018685798792918,4.996202885806787,BRK
10,40.0,39.4,4,-0.35367,0.0,1,0.0,5.019934849514369,4.996202885806787,BRK
10,40.0,39.4,8,-0.47793,0.0,1,0.0,5.021183900235822,4.996202885806787,BRK
10,40.0,39.4,12,-0.66639,0.0,1,0.0,5.022432950957273,4.996202885806787,BRK
10,40.0,55.1,-2,-0.18302,0.0,1,0.0,3.591358589250754,3.572602426511568,BRK
10,40.0,55.1,0,-0.24229,0.0,1,0.0,3.589572288037498,3.572602426511568,BRK
10,40.0,55.1,4,-0.35316,0.0,1,0.0,3.595824342283893,3.572602426511568,BRK
10,40.0,55.1,8,-0.48054,0.0,1,0.0,3.5931448904640093,3.572602426511568,BRK
10,40.0,55.1,12,-0.68177,0.0,1,0.0,3.5877859868242425,3.572602426511568,BRK
10,40.0,78.7,-2,-0.18796,0.0,1,0.0,2.5162833044852877,2.5012756505817966,ZERO
10,40.0,78.7,0,-0.2506,0.0,1,0.0,2.5156579855726418,2.5012756505817966,ZERO
10,40.0,78.7,4,-0.36536,0.0,1,0.0,2.514407347747351,2.5012756505817966,ZERO
10,40.0,78.7,8,-0.501045,0.0009970205614730871,2,0.0,2.5128440504657377,2.5012756505817966,REPLICATE/ZERO
10,40.0,78.7,12,-0.72528,0.0,1,0.0,2.5150326666599967,2.5012756505817966,ZERO
10,40.0,,-2,-0.23091,0.0,1,0.0,,,FREE
10,40.0,,0,-0.29866,0.0,1,0.0,,,FREE
10,40.0,,4,-0.42054,0.0,1,0.0,,,FREE
10,40.0,,8,-0.55789,0.0,1,0.0,,,FREE
10,40.0,,12,-0.79903,0.0,1,0.0,,,FREE
