V_nominal,delta_e_deg,Alpha,J,delta_CD_interpolated
20.0,-10,-1.851063829787234,3.583996808510638,0.05333057496908733
20.0,-10,-1.702127659574468,3.583902127659574,0.0533212963773817
20.0,-10,-1.702127659574468,3.583996808510638,0.05325924081141009
20.0,-10,-1.5531914893617023,3.5838074468085104,0.05333843121151993
20.0,-10,-1.5531914893617023,3.583902127659574,0.053244544081070266
20.0,-10,-1.5531914893617023,3.583996808510638,0.0531879066537333
20.0,-10,-1.5531914893617023,3.584091489361702,0.053453497019569696
20.0,-10,-1.4042553191489362,3.5837127659574466,0.05335556604565639
20.0,-10,-1.4042553191489362,3.5838074468085104,0.053238651826011285
20.0,-10,-1.4042553191489362,3.583902127659574,0.05317320992339303
20.0,-10,-1.4042553191489362,3.583996808510638,0.05311657249605606
20.0,-10,-1.4042553191489362,3.584091489361702,0.05338216286189379
20.0,-10,-1.2553191489361701,3.583618085106383,0.05337270087979462
20.0,-10,-1.2553191489361701,3.5837127659574466,0.05325578666014863
20.0,-10,-1.2553191489361701,3.5838074468085104,0.0531585131930532
20.0,-10,-1.2553191489361701,3.583902127659574,0.05310187576571623
20.0,-10,-1.2553191489361701,3.583996808510638,0.053045238338379264
20.0,-10,-1.2553191489361701,3.584091489361702,0.05331082870421611
20.0,-10,-1.2553191489361701,3.584186170212766,0.05358765957446643
20.0,-10,-1.1063829787234043,3.583523404255319,0.05338983571393108
20.0,-10,-1.1063829787234043,3.583618085106383,0.053272921494285974
20.0,-10,-1.1063829787234043,3.5837127659574466,0.05315600727463998
20.0,-10,-1.1063829787234043,3.5838074468085104,0.053087179035375964
20.0,-10,-1.1063829787234043,3.583902127659574,0.053030541608038995
20.0,-10,-1.1063829787234043,3.583996808510638,0.052973904180702025
20.0,-10,-1.1063829787234043,3.584091489361702,0.0532394945465402
20.0,-10,-1.1063829787234043,3.584186170212766,0.05351632541679052
20.0,-10,-0.9574468085106385,3.583523404255319,0.05329005632842332
20.0,-10,-0.9574468085106385,3.583618085106383,0.053173142108778215
20.0,-10,-0.9574468085106385,3.5837127659574466,0.05307248230503614
20.0,-10,-0.9574468085106385,3.5838074468085104,0.05301584487769917
20.0,-10,-0.9574468085106385,3.583902127659574,0.0529592074503622
20.0,-10,-0.9574468085106385,3.583996808510638,0.05290257002302523
20.0,-10,-0.9574468085106385,3.584091489361702,0.05316816038886252
20.0,-10,-0.9574468085106385,3.584186170212766,0.05344499125911284
20.0,-10,-0.8085106382978724,3.5834287234042552,0.05330719116256155
20.0,-10,-0.8085106382978724,3.583523404255319,0.05319027694291556
20.0,-10,-0.8085106382978724,3.583618085106383,0.053073362723270456
20.0,-10,-0.8085106382978724,3.5837127659574466,0.0530011481473589
20.0,-10,-0.8085106382978724,3.5838074468085104,0.05294451072002193
20.0,-10,-0.8085106382978724,3.583902127659574,0.05288787329268496
20.0,-10,-0.8085106382978724,3.583996808510638,0.05283123586534799
20.0,-10,-0.8085106382978724,3.584091489361702,0.053096826231184835
20.0,-10,-0.8085106382978724,3.584186170212766,0.05337365710143516
20.0,-10,-0.8085106382978724,3.5842808510638298,0.05365048797168548
20.0,-10,-0.6595744680851063,3.5833340425531914,0.05332432599669801
20.0,-10,-0.6595744680851063,3.5834287234042552,0.053207411777052904
20.0,-10,-0.6595744680851063,3.583523404255319,0.05309049755740691
20.0,-10,-0.6595744680851063,3.583618085106383,0.05298645141701863
20.0,-10,-0.6595744680851063,3.5837127659574466,0.05292981398968166
20.0,-10,-0.6595744680851063,3.5838074468085104,0.05287317656234469
20.0,-10,-0.6595744680851063,3.583902127659574,0.05281653913500772
20.0,-10,-0.6595744680851063,3.583996808510638,0.05275990170767075
20.0,-10,-0.6595744680851063,3.584091489361702,0.05302549207350893
20.0,-10,-0.6595744680851063,3.584186170212766,0.05330232294375925
20.0,-10,-0.6595744680851063,3.5842808510638298,0.05357915381400957
20.0,-10,-0.5106382978723405,3.5832393617021276,0.05334146083083624
20.0,-10,-0.5106382978723405,3.5833340425531914,0.05322454661119025
20.0,-10,-0.5106382978723405,3.5834287234042552,0.053107632391545145
20.0,-10,-0.5106382978723405,3.583523404255319,0.052990718171899154
20.0,-10,-0.5106382978723405,3.583618085106383,0.05291511725934184
20.0,-10,-0.5106382978723405,3.5837127659574466,0.05285847983200487
20.0,-10,-0.5106382978723405,3.5838074468085104,0.0528018424046679
20.0,-10,-0.5106382978723405,3.583902127659574,0.05274520497733093
20.0,-10,-0.5106382978723405,3.583996808510638,0.05268856754999396
20.0,-10,-0.5106382978723405,3.584091489361702,0.052954157915831246
20.0,-10,-0.5106382978723405,3.584186170212766,0.05323098878608157
20.0,-10,-0.5106382978723405,3.5842808510638298,0.05350781965633189
20.0,-10,-0.36170212765957466,3.583144680851064,0.0533585956649727
20.0,-10,-0.36170212765957466,3.5832393617021276,0.05324168144532759
20.0,-10,-0.36170212765957466,3.5833340425531914,0.0531247672256816
20.0,-10,-0.36170212765957466,3.5834287234042552,0.0530078530060365
20.0,-10,-0.36170212765957466,3.583523404255319,0.052900420529001124
20.0,-10,-0.36170212765957466,3.583618085106383,0.0528437831016646
20.0,-10,-0.36170212765957466,3.5837127659574466,0.05278714567432763
20.0,-10,-0.36170212765957466,3.5838074468085104,0.05273050824699066
20.0,-10,-0.36170212765957466,3.583902127659574,0.05267387081965369
20.0,-10,-0.36170212765957466,3.583996808510638,0.05261723339231672
20.0,-10,-0.36170212765957466,3.584091489361702,0.05288282375815356
20.0,-10,-0.36170212765957466,3.584186170212766,0.053159654628403885
20.0,-10,-0.36170212765957466,3.5842808510638298,0.05343648549865421
