source_file,Run_nr,Alpha,Beta,CL,CD,Cyaw,Cm_p_qc,Ct,Cn,Cside,Cm_roll,Cm_pitch,Cm_yaw,V,Re,M,V_nominal,prop_speed_hz,test_block,advance_ratio_J,advance_ratio_nominal_J,delta_e_deg,Ct_free_est,baseline_mode,TCw,C_T_prop
corr_elevator-10rudder0.txt,6,-2.0,0,-0.0751,0.071202,0.00072,0.29765,0.068538,-0.0775,0.000716,-0.00107,0.31394,0.00218,40.21,348700,0.118,40,39.4,BRK,5.022432950957273,4.996202885806787,-10,0.004415,same_delta_e_same_V,-0.064123,-4.253671466431783
corr_elevator-10rudder0.txt,7,-0.004,0,0.1322,0.069743,0.00166,0.28447,0.069753,0.1322,0.001661,-0.00131,0.24846,0.00161,40.2,348600,0.118,40,39.4,BRK,5.021183900235822,4.996202885806787,-10,0.006005811999999999,same_delta_e_same_V,-0.063747188,-4.226638487141651
corr_elevator-10rudder0.txt,8,4.0,0,0.5346,0.076979,0.00424,0.26879,0.039497,0.5387,0.004244,-0.00175,0.13132,0.0004,40.12,347800,0.118,40,39.4,BRK,5.0111914944642075,4.996202885806787,-10,-0.0238,same_delta_e_same_V,-0.06329699999999999,-4.180102591165727
corr_elevator-10rudder0.txt,9,8.0,0,0.875,0.100903,-0.00317,0.20809,-0.021857,0.8805,-0.003171,-0.00309,-0.01421,-0.00039,40.19,348400,0.118,40,39.4,BRK,5.019934849514369,4.996202885806787,-10,-0.08922457542457543,same_delta_e_same_V,-0.06736757542457543,-4.464459574363501
corr_elevator-10rudder0.txt,10,12.0,0,1.0531,0.153187,-0.00209,0.0887,-0.069106,1.0619,-0.002086,-0.00311,-0.1777,-0.00124,40.21,348500,0.118,40,39.4,BRK,5.022432950957273,4.996202885806787,-10,-0.143668,same_delta_e_same_V,-0.07456199999999999,-4.946154295339996
corr_elevator-10rudder0.txt,11,-1.996,0,-0.0774,0.068656,0.00114,0.2989,0.06592,-0.0797,0.001142,-0.00099,0.31572,0.00206,40.19,348300,0.118,40,55.1,BRK,3.589572288037498,3.572602426511568,-10,0.004418188,same_delta_e_same_V,-0.061501812,-2.083987620745831
corr_elevator-10rudder0.txt,12,-0.004,0,0.1312,0.066991,0.00132,0.28415,0.067001,0.1312,0.001324,-0.00134,0.24838,0.00165,40.2,348300,0.118,40,55.1,BRK,3.5904654386441264,3.572602426511568,-10,0.006005811999999999,same_delta_e_same_V,-0.060995188000000006,-2.0678493298439267
corr_elevator-10rudder0.txt,13,4.0,0,0.5359,0.074201,0.00406,0.26501,0.036637,0.5398,0.004061,-0.00187,0.1273,0.00048,40.2,348100,0.118,40,55.1,BRK,3.5904654386441264,3.572602426511568,-10,-0.0238,same_delta_e_same_V,-0.060437000000000005,-2.0489257275143964
corr_elevator-10rudder0.txt,14,8.0,0,0.8791,0.098389,-0.00382,0.20356,-0.024917,0.8842,-0.00382,-0.00324,-0.01962,-0.00023,40.16,347800,0.118,40,55.1,BRK,3.586892836217614,3.572602426511568,-10,-0.08922457542457543,same_delta_e_same_V,-0.06430757542457544,-2.17580893132968
corr_elevator-10rudder0.txt,15,12.0,0,1.059,0.147999,-0.00155,0.08311,-0.075408,1.0666,-0.001552,-0.00313,-0.18441,-0.00114,40.23,348400,0.118,40,55.1,BRK,3.5931448904640093,3.572602426511568,-10,-0.143668,same_delta_e_same_V,-0.06825999999999999,-2.317595079615237
corr_elevator-10rudder0.txt,16,12.0,0,1.0738,0.126917,0.00099,0.06549,-0.099118,1.0767,0.000994,-0.00372,-0.20437,-0.00194,40.22,348400,0.118,40,78.7,ZERO,2.5150326666599967,2.501275650581797,-10,-0.143668,same_delta_e_same_V,-0.04454999999999999,-0.7410658235673375
corr_elevator-10rudder0.txt,17,8.004,0,0.8893,0.08202,0.00092,0.18922,-0.042608,0.8921,0.000919,-0.0034,-0.03577,-0.00145,40.23,348400,0.118,40,78.7,ZERO,2.5156579855726418,2.501275650581797,-10,-0.08929,same_delta_e_same_V,-0.046681999999999994,-0.7769167119507234
corr_elevator-10rudder0.txt,18,8.004,0,0.9089,-0.011422,-0.00276,0.14041,-0.137869,0.8985,-0.002762,-0.00721,-0.08567,-0.00132,40.18,347900,0.118,40,123.0,MANDATORY,1.6076115485564304,1.60040970488445,-10,-0.08929,same_delta_e_same_V,0.048579,0.33016620761467547
corr_elevator-10rudder0.txt,19,4.0,0,0.5373,0.061115,-0.00073,0.25826,0.023485,0.5403,-0.000729,-0.00282,0.1205,0.0,40.22,348200,0.118,40,78.7,ZERO,2.5150326666599967,2.501275650581797,-10,-0.0238,same_delta_e_same_V,-0.047285,-0.7865611103789352
corr_elevator-10rudder0.txt,20,0.0,0,0.1295,0.052693,0.00242,0.28293,0.052693,0.1295,0.002415,-0.00166,0.24761,0.00127,40.34,349100,0.118,40,78.7,ZERO,2.5225364936117423,2.501275650581797,-10,0.006009,same_delta_e_same_V,-0.046683999999999996,-0.7812046005549591
