  Run_nr	   Alpha	    Beta	      CL	      CD	    Cyaw	 Cm_p_qc	      Ct	      Cn	   Cside	 Cm_roll	Cm_pitch	  Cm_yaw	      Cx	      Cy	      Cz	    Cm_x	    Cm_y	    Cm_z	      Fx	      Fy	      Fz	      Mx	      My	      Mz	     DPb	    Pbar	       T	     Rho	       Q	       V	      Re	       M
       /	 degrees	 degrees	       /	       /	       /	       /	       /	       /	       /	       /	       /	       /	       /	       /	       /	       /	       /	       /	       N	       N	       N	      Nm	      Nm	      Nm	      Pa	      Pa	 degr. C	  kg/m^3	      Pa	     m/s	       /	       /
      85	  -1.996	   0.000	  0.0088	0.072092	 0.00558	 0.06131	0.072356	  0.0063	0.005581	-0.00117	 0.05974	 0.00189	0.072092	-0.005581	0.008815	-0.00214	 0.04801	 0.00185	    4.56	   -0.31	    0.80	   -0.17	    0.61	    0.14	  103.88	 1011.75	   16.44	   1.217	   242.3	   19.96	1.733E+5	   0.058
      86	  -0.004	   0.000	  0.2099	0.073223	 0.00434	 0.05778	0.073237	  0.2099	0.004339	-0.00154	 0.00531	 0.00105	0.073223	-0.004339	0.209917	-0.00225	-0.00661	 0.00105	    4.61	   -0.24	   12.30	   -0.18	    0.08	    0.08	  104.33	 1011.74	   16.42	   1.217	   243.4	   20.00	1.737E+5	   0.059
      87	   4.000	   0.000	  0.6123	0.086219	 0.00260	 0.06508	0.043294	  0.6169	0.002605	-0.00227	-0.08914	-0.00029	0.086219	-0.002605	0.612344	-0.00271	-0.10317	-0.00013	    5.28	   -0.15	   35.15	   -0.21	   -0.85	   -0.01	  104.37	 1011.73	   16.42	   1.217	   243.5	   20.00	1.738E+5	   0.059
      88	   8.000	   0.000	  0.9480	0.113164	 0.00246	 0.00886	-0.019873	  0.9545	0.002462	-0.00343	-0.22976	-0.00082	0.113164	-0.002462	0.947982	-0.00391	-0.24817	-0.00034	    6.76	   -0.14	   54.05	   -0.31	   -2.23	   -0.03	  104.39	 1011.76	   16.40	   1.217	   243.5	   20.00	1.738E+5	   0.059
      89	  12.000	   0.000	  1.1685	0.173617	 0.00605	-0.10781	-0.073120	  1.1790	0.006051	-0.00148	-0.40257	-0.00176	0.173617	-0.006051	1.168485	-0.00281	-0.43082	-0.00149	   10.09	   -0.34	   66.10	   -0.22	   -3.90	   -0.12	  104.25	 1011.76	   16.35	   1.217	   243.2	   19.99	1.737E+5	   0.059
      90	  -1.996	   0.000	  0.0060	0.069040	 0.00057	 0.06285	0.069207	  0.0036	0.000574	-0.00073	 0.06195	 0.00233	0.069040	-0.000574	0.005980	-0.00091	 0.05072	 0.00230	   17.64	   -0.13	    2.57	   -0.29	    2.54	    0.73	  415.41	 1011.71	   16.71	   1.216	   973.5	   40.02	3.470E+5	   0.117
      91	  -0.005	   0.000	  0.2139	0.069643	 0.00189	 0.05509	0.069660	  0.2139	0.001886	-0.00087	 0.00161	 0.00161	0.069643	-0.001886	0.213925	-0.00118	-0.00972	 0.00161	   17.62	   -0.42	   50.00	   -0.37	    0.22	    0.50	  414.66	 1011.74	   16.82	   1.215	   971.8	   39.99	3.465E+5	   0.117
      92	   4.000	   0.000	  0.6129	0.080843	 0.00686	 0.05486	0.037890	  0.6171	0.006864	-0.00116	-0.09941	-0.00031	0.080843	-0.006864	0.612932	-0.00230	-0.11256	-0.00023	   19.89	   -1.54	  140.73	   -0.72	   -3.73	   -0.07	  415.57	 1011.74	   16.90	   1.215	   973.9	   40.04	3.468E+5	   0.117
      93	   8.000	   0.000	  0.9543	0.108459	-0.00114	-0.00290	-0.025411	  0.9601	-0.001143	-0.00282	-0.24292	-0.00078	0.108459	0.001143	0.954301	-0.00272	-0.26057	-0.00039	   25.95	    0.26	  217.40	   -0.85	   -9.36	   -0.12	  415.20	 1011.75	   16.90	   1.215	   973.1	   40.02	3.466E+5	   0.117
      94	  12.000	   0.000	  1.1308	0.165103	 0.00054	-0.12299	-0.073619	  1.1405	0.000545	-0.00266	-0.40811	-0.00195	0.165103	-0.000545	1.130835	-0.00312	-0.43497	-0.00143	   38.35	   -0.12	  255.36	   -0.98	  -15.70	   -0.45	  414.17	 1011.71	   16.91	   1.215	   970.6	   39.97	3.462E+5	   0.117
